label,display_name,group_type,image_count,centroid_l2_to_real,centroid_cosine_to_real,pca_centroid_l2_to_real,mmd_rbf_to_real,syn_to_real_nn_mean,syn_to_real_nn_median,real_to_syn_nn_mean,source_objective_value,source_manifest_rank,project_name,category,cycle_index,timestamp,selection_kind,trial_id,run_id,iteration_index,cache_path
run_01,run_01 1st_rounds_best ,selected,64,11.256611824035645,0.18808801984541923,7.99960994720459,0.39565356335022533,18.9655769157135,18.013925533438698,17.565227187445775,,,,1st_rounds_best,,,,trial_0,iter000_run017,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/1st_rounds_best/trial_0/cache/iter000_run017__45a79b30c9864c8f_dinov2_vitb14_reg.npy
run_04,run_04 1st_rounds_best ,selected,64,11.284309387207031,0.18915409911157177,7.342523574829102,0.4014379237923863,19.429000084127864,18.396735487323394,17.661267990018064,,,,1st_rounds_best,,,,trial_0,iter004_run004,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/1st_rounds_best/trial_0/cache/iter004_run004__f7fffad202e13dcc_dinov2_vitb14_reg.npy
run_03,run_03 1st_rounds_best ,selected,64,11.296289443969727,0.1895949042529299,7.950816631317139,0.4020564094675618,19.047854479676154,16.96365820358998,17.839717855083435,,,,1st_rounds_best,,,,trial_0,iter004_run001,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/1st_rounds_best/trial_0/cache/iter004_run001__2c9f2d6f88e88d34_dinov2_vitb14_reg.npy
run_06,run_06 1st_rounds_best ,selected,64,11.311795234680176,0.18809283375804764,7.9004740715026855,0.39417640460271025,20.31958257591353,19.66551704434234,17.474857838601174,,,,1st_rounds_best,,,,trial_0,iter006_run000,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/1st_rounds_best/trial_0/cache/iter006_run000__2db11879e18cf406_dinov2_vitb14_reg.npy
run_61,run_61 workspace_camera_r01 ,selected,64,11.3333740234375,0.19098391788398805,6.557877063751221,0.39838989913080636,19.59205512165419,17.572631925102137,18.412147223889516,,,,workspace_camera_r01,,,,trial_142,iter028_run001,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/workspace_camera_r01/trial_142/cache/iter028_run001__625bc0ff03a6_dinov2_vitb14_reg.npy
run_70,run_70 workspace_noise_materials_objects_r02 ,selected,64,11.431745529174805,0.1929810150257214,7.171479225158691,0.38953777969224845,20.240642536340637,18.92709009112349,18.020997456147715,,,,workspace_noise_materials_objects_r02,,,,trial_41,iter003_run002,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/workspace_noise_materials_objects_r02/trial_41/cache/iter003_run002__cd95dbd7cc5e_dinov2_vitb14_reg.npy
run_60,run_60 workspace_camera_r01 ,selected,64,11.454837799072266,0.19410492978356086,4.53796911239624,0.4151368702534055,19.243374609405095,17.684717272471644,18.11981555404631,,,,workspace_camera_r01,,,,trial_136,iter026_run003,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/workspace_camera_r01/trial_136/cache/iter026_run003__945cc50b1fc9_dinov2_vitb14_reg.npy
run_53,run_53 workspace_camera_color_r01 ,selected,64,11.462509155273438,0.19167665421493796,7.93951416015625,0.39162353596508265,20.659439733732043,19.921480500627453,17.927079892544963,,,,workspace_camera_color_r01,,,,trial_78,iter016_run001,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/workspace_camera_color_r01/trial_78/cache/iter016_run001__3fd395bd3cf0_dinov2_vitb14_reg.npy
run_08,run_08 1st_rounds_best ,selected,64,11.488308906555176,0.1966229389496268,7.271103382110596,0.4022424580296477,19.837681964118275,19.532328395530644,17.53604394405802,,,,1st_rounds_best,,,,trial_0,iter007_run006,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/1st_rounds_best/trial_0/cache/iter007_run006__5e5ae1ce0a03f763_dinov2_vitb14_reg.npy
run_17,run_17 top_30 ,selected,128,11.504886627197266,0.19621480886925768,7.167788028717041,0.3931149370851423,19.803349256732766,19.494419582214864,17.29331955503307,,,,top_30,,,,trial_0,iter019_run003,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/top_30/trial_0/cache/iter019_run003__76956f1e89e9_dinov2_vitb14_reg.npy
